Year,Country_Name,net_carbon_stock_change,surface_pct,country_global_emissions,CO2_aviation_sum,precipitation_m3,variation_temp_deg,terres_agricoles_perc,Aviation_perc,Global_Emissions_30perc,Global_Emissions_55perc
2006,Croatia,-1.0873632,34.06004289,23.87981,0.30486,57114.0,0.95175,21.979985704074306,1.276643323376526,16.715867,10.7459145
2007,Croatia,-1.0873632,34.12258756,25.21939,0.31744,60255.0,1.7491666666666663,21.479628305932803,1.258714029165654,17.653572999999998,11.3487255
2008,Croatia,-1.0873632,34.18513224,23.983629999999998,0.35829999999999995,63146.33333333334,1.6711666666666665,23.036097212294504,1.4939356552782042,16.788541,10.792633499999999
2009,Croatia,-1.0873632,34.24767691,22.10071,0.30801,63146.33333333334,1.5045833333333336,23.2237312365976,1.3936656333665298,15.470496999999998,9.9453195
2010,Croatia,-1.0873632,34.31022159,21.33429,0.32687,63146.33333333334,0.733,23.8348820586133,1.5321344183471772,14.934002999999999,9.6004305
2011,Croatia,-1.5109160000000006,34.31736955,21.03913,0.34571999999999997,66680.0,1.506833333333333,23.697283774124397,1.643223840529528,14.727390999999999,9.4676085
2012,Croatia,-1.5109160000000006,34.32451751,19.431070000000002,0.36144,62618.0,1.684583333333333,23.7848463187991,1.8601137250805029,13.601749,8.7439815
2013,Croatia,-1.5109160000000006,34.33166548,18.81464,0.39793,61108.0,1.4666666666666666,28.0075053609721,2.1150019346636446,13.170247999999999,8.466588
2014,Croatia,-1.5109160000000006,33.95652942,18.06598,0.39857,85551.0,2.0989166666666668,26.6566531189256,2.206190862604741,12.646185999999998,8.129691
2015,Croatia,-1.5109160000000006,33.96359781,18.18228,0.38488,62330.0,2.00025,27.1638098603994,2.116786233629666,12.727595999999998,8.182026
2016,Croatia,-4.80963274,34.00106379,18.47202,0.40686,63146.33333333334,1.7071666666666665,27.3193143664958,2.2025744883342484,12.930413999999999,8.312409
2017,Croatia,-4.80963274,34.13338752,19.18723,0.48048,63146.33333333334,1.672,26.4534370030041,2.504165530928644,13.431061,8.6342535
2018,Croatia,-4.80963274,34.17759321,18.32313,0.59139,63146.33333333334,2.3345833333333332,26.22371443717969,3.2275599201664784,12.826190999999998,8.2454085
2019,Croatia,-4.80963274,33.822711125517245,18.46261,0.6379100000000001,63146.33333333334,2.3810833333333337,28.108118726552604,3.455145290942072,12.923827000000001,8.308174500000002
2020,Croatia,-4.80963274,33.822711125517245,20.131872000000005,0.3180740000000001,63146.33333333334,2.096416666666667,28.108118726552604,1.5799524256859967,14.092310400000002,9.059342400000002
1990,Ireland,-3.5780949600000014,6.7011177239999995,34.07307,1.1206699999999998,90589.79688,0.7898333333333332,82.00029031789809,3.2890197449187872,23.851149,15.332881500000001
1991,Ireland,-3.5780949600000014,6.9460299029999995,34.8201,1.0830799999999998,81254.25781,0.30966666666666665,64.4796051676586,3.11050226736856,24.374069999999996,15.669044999999999
1992,Ireland,-3.5780949600000014,7.190942082,34.45278,0.9479299999999999,86111.54688,0.2842499999999999,64.0586442154159,2.7513890025710555,24.116945999999995,15.503751
1993,Ireland,-3.5780949600000014,7.43585426,35.227579999999996,1.3784999999999998,88750.75781,0.11574999999999995,63.9280011612716,3.913127157755372,24.659305999999997,15.852410999999998
1994,Ireland,-3.5780949600000014,7.680766439,36.14905,1.2269700000000001,97777.46094,0.3643333333333333,63.7247786326027,3.3941970812510966,25.304335000000002,16.2670725
