Year,Country_Name,EU28_CO2_emissions
1997,Slovenia,16.56219
1997,Slovakia,44.33018
1997,Finland,65.1317
1997,Sweden,64.07646
1997,United Kingdom,592.77308
1998,Belgium,152.84625
1998,Bulgaria,53.78168
1998,Czechia,127.22524
1998,Denmark,68.66697
1998,Germany,945.48523
1998,Estonia,17.28359
1998,Ireland,42.52669
1998,Greece,112.4088
1998,Spain,303.55864
1998,France,442.53713
1998,Croatia,19.34829
1998,Italy,471.9804
1998,Cyprus,7.71602
1998,Latvia,8.47113
1998,Lithuania,16.269
1998,Luxembourg,8.56928
1998,Hungary,61.76293
1998,Malta,4.7294
1998,Netherlands,224.10618
1998,Austria,68.54282
1998,Poland,341.02758
1998,Portugal,62.3886
1998,Romania,107.892
1998,Slovenia,16.08502
1998,Slovakia,44.0969
1998,Finland,62.16481
1998,Sweden,65.41064
1998,United Kingdom,601.02968
1999,Belgium,144.27443
1999,Bulgaria,46.61425
1999,Czechia,118.40513
1999,Denmark,65.86452
1999,Germany,919.47724
1999,Estonia,16.31334
1999,Ireland,44.54498
1999,Greece,110.78761
1999,Spain,327.3259
1999,France,441.77696
1999,Croatia,20.33449
1999,Italy,477.15329
1999,Cyprus,8.17843
1999,Latvia,7.86638
1999,Lithuania,13.78671
1999,Luxembourg,9.13577
1999,Hungary,62.30718
1999,Malta,4.99459
1999,Netherlands,220.47339
1999,Austria,67.26285
1999,Poland,331.45513
1999,Portugal,70.56492
1999,Romania,91.67776
1999,Slovenia,15.46497
1999,Slovakia,43.19314
1999,Finland,61.86579
1999,Sweden,62.70613
1999,United Kingdom,594.62076
2000,Belgium,147.61139
2000,Bulgaria,45.9061
2000,Czechia,128.90675
2000,Denmark,61.49649
2000,Germany,924.94444
2000,Estonia,15.86842
2000,Ireland,47.54132
2000,Greece,117.01751
2000,Spain,340.23382
2000,France,437.22088
2000,Croatia,19.91935
2000,Italy,482.59372
2000,Cyprus,8.56088
2000,Latvia,7.21251
2000,Lithuania,12.23923
2000,Luxembourg,9.67055
2000,Hungary,59.08425
2000,Malta,5.01157
2000,Netherlands,223.83058
2000,Austria,67.90152
2000,Poland,319.40159
2000,Portugal,69.55571
2000,Romania,95.74361
2000,Slovenia,15.1119
2000,Slovakia,41.26502
2000,Finland,60.25609
2000,Sweden,61.46168
2000,United Kingdom,603.21641
2001,Belgium,146.62076
2001,Bulgaria,49.59332
2001,Czechia,128.79637
2001,Denmark,62.37461
2001,Germany,941.35247
2001,Estonia,16.22246
2001,Ireland,50.30996
2001,Greece,118.89935
2001,Spain,344.67605
2001,France,440.83299
2001,Croatia,21.07472
2001,Italy,483.1474
2001,Cyprus,8.57475
2001,Latvia,8.22374
2001,Lithuania,13.0355
2001,Luxembourg,10.24645
2001,Hungary,60.64325
2001,Malta,5.22504
2001,Netherlands,232.62159
2001,Austria,71.86094
2001,Poland,315.44132
2001,Portugal,68.57556
2001,Romania,100.82709
2001,Slovenia,16.36613
2001,Slovakia,43.38152
2001,Finland,65.56633
2001,Sweden,62.22514
2001,United Kingdom,612.04103
2002,Belgium,153.27196
2002,Bulgaria,46.85755
2002,Czechia,125.58406
2002,Denmark,61.05422
2002,Germany,924.99555
2002,Estonia,15.7606
2002,Ireland,48.86797
2002,Greece,117.36295
2002,Spain,364.92473
2002,France,436.24709
2002,Croatia,22.15035
2002,Italy,490.22359
2002,Cyprus,8.56024
2002,Latvia,8.28565
2002,Lithuania,13.13153
2002,Luxembourg,11.10928
2002,Hungary,59.64189
2002,Malta,5.68469
2002,Netherlands,232.00353
2002,Austria,73.56364
2002,Poland,308.21699
2002,Portugal,73.0299
2002,Romania,101.18592
2002,Slovenia,16.62738
2002,Slovakia,42.12127
2002,Finland,68.30363
2002,Sweden,62.3636
2002,United Kingdom,594.29816
2003,Belgium,155.30801
2003,Bulgaria,51.4394
2003,Czechia,129.23069
2003,Denmark,66.36359
2003,Germany,927.30191
2003,Estonia,17.63678
2003,Ireland,48.50012
2003,Greece,122.39395
2003,Spain,370.06835
2003,France,443.08742
2003,Croatia,23.46601
2003,Italy,510.0441
2003,Cyprus,8.97486
2003,Latvia,8.46669
2003,Lithuania,13.13425
2003,Luxembourg,11.63162
2003,Hungary,62.38074
2003,Malta,6.10335
2003,Netherlands,232.45804
