Year,Country_Name,net_emission_removals_co2ton,surface_pct,EU28_CO2_emissions,CO2_aviation_sum,precipitation_m3,variation_temp_deg,terres_agricoles_perc,Aviation_perc
1990,Austria,-15381.55674,45.7213611,63.0664,0.91884,90688.0,1.08325,36.6178251392589,1.4569406213134093
1991,Austria,-15381.55674,45.79700896,66.76805999999999,1.03237,90688.0,0.10533333333333336,36.7752482441269,1.5462033792804526
1992,Austria,-15381.55674,45.87265682,61.35115,1.1215400000000002,90688.0,1.3894166666666667,36.4858319205619,1.8280667925540113
1993,Austria,-15381.55674,45.94830467,61.84215,1.18967,90688.0,0.6740833333333335,36.3162993460886,1.9237203105002012
1994,Austria,-15381.55674,46.02395253,62.27591999999999,1.2409400000000002,90688.0,1.9935000000000005,36.256962945023,1.9926482017447518
1995,Austria,-15381.55674,46.09960039,65.40133,1.38634,90688.0,0.7529999999999998,36.099539840155,2.1197428248018806
1996,Austria,-15381.55674,46.17524824,68.88729000000001,1.5313700000000001,90688.0,-0.30525,36.0050859772342,2.2230080469125726
1997,Austria,-15381.55674,46.2508961,68.84579000000001,1.59758,90688.0,0.8534166666666669,35.8997335916687,2.320519526321072
1998,Austria,-15381.55674,46.32654396,68.54281999999999,1.65704,90688.0,1.1264166666666666,35.8428190845241,2.4175252783588426
1999,Austria,-15381.55674,46.40219181,67.26285,1.6243,90688.0,1.102666666666667,35.7859045773795,2.414854559389024
2000,Austria,-15381.55674,46.47783967,67.90151999999999,1.7627199999999998,90688.0,1.9755000000000005,35.60426253330101,2.5959949055632334
2001,Austria,-6414.84198666667,46.508186,71.86094,1.7112299999999998,90688.0,1.1143333333333334,35.312424315815,2.3813075643040573
2002,Austria,-6414.84198666667,46.53853233,73.56364,1.60294,90688.0,1.8276666666666668,35.144102688302304,2.178984074197525
2003,Austria,-6414.84198666667,46.56887866,78.96713000000003,1.5154100000000001,90688.0,1.4899166666666666,34.9386049891015,1.919038972291382
2004,Austria,-6414.84198666667,46.59922499,79.46889,1.7891599999999999,90688.0,0.8313333333333334,34.7226931460402,2.251396741542508
2005,Austria,-6414.84198666667,46.62957132,81.10234,2.02648,90688.0,0.5464166666666667,34.5943327682248,2.4986701986650446
2006,Austria,-6414.84198666667,46.65991766,78.91060999999998,2.12051,90688.0,1.2311666666666663,34.4308549285541,2.6872305257810076
2007,Austria,-6414.84198666667,46.6913948,76.34275,2.24936,99493.0,1.93475,34.2718399573736,2.946396350668531
2008,Austria,-6414.84198666667,46.72174187,75.71885999999998,2.25261,85243.0,1.7211666666666663,34.0211678655332,2.9749655501944963
2009,Austria,-6414.84198666667,46.75208893,69.23939,1.9607299999999999,96576.0,1.5023333333333333,33.8467872799051,2.8318129319163554
2010,Austria,-6414.84198666667,46.78640201,74.11525999999998,2.11294,88872.0,0.4788333333333332,33.6583061849802,2.850883880053852
2011,Austria,-7516.8522,46.83564879,72.11491,2.2300500000000003,83256.0,1.7787499999999998,33.3971245503325,3.0923563518279376
2012,Austria,-7516.8522,46.88320372,69.39485,2.1272,90688.0,1.6274166666666667,33.1322528284517,3.0653571554661476
2013,Austria,-7516.8522,46.93986502,69.79699000000001,2.02991,90688.0,1.29225,32.913693036556,2.9083059312443127
2014,Austria,-7516.8522,46.98801546,66.19598,2.02643,90688.0,2.4368333333333334,32.890224543460604,3.0612584027005862
2015,Austria,-7516.8522,47.03332525,68.52653000000001,2.17667,90688.0,2.3226666666666667,32.9429229277751,3.17639022434085
2016,Austria,-7440.289633333349,47.07695104,69.5926,2.3722700000000003,90688.0,1.8714166666666667,32.3578526417838,3.4087963375416357
2017,Austria,-7440.289633333349,47.12045565,71.89899,2.2884299999999995,90688.0,1.7555833333333333,32.169413475521104,3.1828402596475964
2018,Austria,-7440.289633333349,47.16396025,69.13481,2.57594,90688.0,2.623083333333333,32.1477217644207,3.7259667018684226
2019,Austria,-7440.289633333349,46.53768855172414,70.91453,2.95282,90688.0,2.5106666666666664,34.64075286522253,4.163913939780747
2020,Austria,-7440.289633333349,46.53768855172414,70.30017599999998,1.83946,90688.0,2.281333333333334,34.64075286522253,2.6165795089901347
1990,Bulgaria,-25291.475,30.07321703,77.59465,0.76265,85718.47265,0.8794166666666667,55.6720600198861,0.9828641536497684
1991,Bulgaria,-25291.475,30.1166049,63.032680000000006,0.65007,85718.47265,-0.4998333333333334,55.690138298833894,1.031322164946818
1992,Bulgaria,-25291.475,30.15999277,59.04821999999999,0.8697699999999999,85718.47265,0.32025,55.6268643225165,1.472982589483646
1993,Bulgaria,-25291.475,30.20338064,60.36629,1.15081,85718.47265,0.01266666666666664,55.3285727198771,1.906378543389034
1994,Bulgaria,-25291.475,30.24676851,58.13779,0.9429200000000001,85718.47265,1.4672500000000002,55.6720600198861,1.6218710755947208
1995,Bulgaria,-25291.475,30.29015638,59.70893,0.9318700000000001,85718.47265,0.2510833333333334,55.7172557172557,1.5606878234126789
1996,Bulgaria,-25291.475,30.33354425,59.83675,0.61646,85718.47265,-0.26541666666666663,55.7172557172557,1.0302364349668054
1997,Bulgaria,-25291.475,30.37693212,56.32391,0.46088,85718.47265,-0.34416666666666673,56.069782156738704,0.8182670556784853
1998,Bulgaria,-25291.475,30.42031999,53.78168,0.40572,85718.47265,0.4919166666666666,51.0259423302901,0.7543832769820504
1999,Bulgaria,-25291.475,30.46370786,46.61425,0.25555,85718.47265,1.1714166666666668,51.3332730724035,0.5482229146666523
2000,Bulgaria,-25291.475,30.50709572,45.9061,0.25709,85718.47265,1.2220833333333334,50.45647654343311,0.5600345052182607
2001,Bulgaria,-28218.3916666667,30.83431257,49.59332,0.34638,85718.47265,1.0671666666666666,49.697188827623606,0.6984408384032366
2002,Bulgaria,-28218.3916666667,31.68566176,46.85755,0.39419,85718.47265,1.0808333333333335,48.9430147058824,0.841251836683736
2003,Bulgaria,-28218.3916666667,32.02721339,51.4394,0.49646999999999997,85718.47265,0.3345,48.9657074561,0.9651551145619894
2004,Bulgaria,-28218.3916666667,32.3630011,50.40496,0.47625,85718.47265,0.6671666666666667,49.006987863184996,0.9448474911992787
2005,Bulgaria,-28218.3916666667,32.73195876,51.56528,0.58108,85718.47265,0.16891666666666666,48.4628129602356,1.126882274274473
2006,Bulgaria,-28218.3916666667,33.068213199999995,52.76263,0.5545999999999999,85718.47265,0.5842499999999999,47.776857221761894,1.051122735921238
2007,Bulgaria,-28218.3916666667,33.40760519,56.44754,0.56129,85718.47265,1.70775,47.1043182027438,0.9943568842858342
2008,Bulgaria,-28218.3916666667,33.74090784,55.0942,0.65659,85718.47265,1.4253333333333336,46.96620937298589,1.1917588421285725
2009,Bulgaria,-28218.3916666667,34.0899042,46.91636,0.4784600000000001,85718.47265,1.3104166666666668,46.3338246131172,1.0198148364451125
2010,Bulgaria,-28218.3916666667,34.42336035,48.6673,0.5227799999999999,85718.47265,1.2880833333333332,46.5364775239499,1.0741915002475995
