Year,AreaName,net_emission_removals_co2ton
1996,Hungary,-4186.2381
1997,Hungary,-4186.2381
1998,Hungary,-4186.2381
1999,Hungary,-4186.2381
2000,Hungary,-4186.2381
2001,Hungary,-3404.72638
2002,Hungary,-3404.72638
2003,Hungary,-3404.72638
2004,Hungary,-3404.72638
2005,Hungary,-3404.72638
2006,Hungary,-3404.72638
2007,Hungary,-3404.72638
2008,Hungary,-3404.72638
2009,Hungary,-3404.72638
2010,Hungary,-3404.72638
2011,Hungary,-4376.8296
2012,Hungary,-4376.8296
2013,Hungary,-4376.8296
2014,Hungary,-4376.8296
2015,Hungary,-4376.8296
2016,Hungary,-4125.18142666666
2017,Hungary,-4125.18142666666
2018,Hungary,-4125.18142666666
2019,Hungary,-4125.18142666666
2020,Hungary,-4125.18142666666
1990,Croatia,-1254.66913
1991,Croatia,-1254.66913
1992,Croatia,-1254.66913
1993,Croatia,-1254.66913
1994,Croatia,-1254.66913
1995,Croatia,-1254.66913
1996,Croatia,-1254.66913
1997,Croatia,-1254.66913
1998,Croatia,-1254.66913
1999,Croatia,-1254.66913
2000,Croatia,-1254.66913
2001,Croatia,-1087.3632
2002,Croatia,-1087.3632
2003,Croatia,-1087.3632
2004,Croatia,-1087.3632
2005,Croatia,-1087.3632
2006,Croatia,-1087.3632
2007,Croatia,-1087.3632
2008,Croatia,-1087.3632
2009,Croatia,-1087.3632
2010,Croatia,-1087.3632
2011,Croatia,-1510.916
2012,Croatia,-1510.916
2013,Croatia,-1510.916
2014,Croatia,-1510.916
2015,Croatia,-1510.916
2016,Croatia,-4809.63274
2017,Croatia,-4809.63274
2018,Croatia,-4809.63274
2019,Croatia,-4809.63274
2020,Croatia,-4809.63274
1990,Ireland,-3578.09496
1991,Ireland,-3578.09496
1992,Ireland,-3578.09496
1993,Ireland,-3578.09496
1994,Ireland,-3578.09496
1995,Ireland,-3578.09496
1996,Ireland,-3578.09496
1997,Ireland,-3578.09496
1998,Ireland,-3578.09496
1999,Ireland,-3578.09496
2000,Ireland,-3578.09496
2001,Ireland,-3243.32418666667
2002,Ireland,-3243.32418666667
2003,Ireland,-3243.32418666667
2004,Ireland,-3243.32418666667
2005,Ireland,-3243.32418666667
2006,Ireland,-3243.32418666667
2007,Ireland,-3243.32418666667
2008,Ireland,-3243.32418666667
2009,Ireland,-3243.32418666667
2010,Ireland,-3243.32418666667
2011,Ireland,-3344.11821333334
2012,Ireland,-3344.11821333334
2013,Ireland,-3344.11821333334
2014,Ireland,-3344.11821333334
2015,Ireland,-3344.11821333334
2016,Ireland,-3889.19329333333
2017,Ireland,-3889.19329333333
2018,Ireland,-3889.19329333333
2019,Ireland,-3889.19329333333
2020,Ireland,-3889.19329333333
1990,Italy,-35316.1233333333
1991,Italy,-35316.1233333333
1992,Italy,-35316.1233333333
1993,Italy,-35316.1233333333
1994,Italy,-35316.1233333333
1995,Italy,-35316.1233333333
1996,Italy,-35316.1233333333
1997,Italy,-35316.1233333333
1998,Italy,-35316.1233333333
1999,Italy,-35316.1233333333
2000,Italy,-35316.1233333333
2001,Italy,-35510.0911
2002,Italy,-35510.0911
2003,Italy,-35510.0911
2004,Italy,-35510.0911
2005,Italy,-35510.0911
2006,Italy,-35510.0911
2007,Italy,-35510.0911
2008,Italy,-35510.0911
2009,Italy,-35510.0911
2010,Italy,-35510.0911
2011,Italy,-35461.2808
2012,Italy,-35461.2808
2013,Italy,-35461.2808
2014,Italy,-35461.2808
2015,Italy,-35461.2808
2016,Italy,-13613.93
2017,Italy,-13613.93
2018,Italy,-13613.93
2019,Italy,-13613.93
2020,Italy,-13613.93
1990,Latvia,-14977.2296666667
1991,Latvia,-14977.2296666667
1992,Latvia,-14977.2296666667
1993,Latvia,-14977.2296666667
1994,Latvia,-14977.2296666667
1995,Latvia,-14977.2296666667
1996,Latvia,-14977.2296666667
1997,Latvia,-14977.2296666667
1998,Latvia,-14977.2296666667
1999,Latvia,-14977.2296666667
2000,Latvia,-14977.2296666667
2001,Latvia,-16189.8033733333
2002,Latvia,-16189.8033733333
2003,Latvia,-16189.8033733333
2004,Latvia,-16189.8033733333
2005,Latvia,-16189.8033733333
2006,Latvia,-16189.8033733333
2007,Latvia,-16189.8033733333
2008,Latvia,-16189.8033733333
2009,Latvia,-16189.8033733333
2010,Latvia,-16189.8033733333
2011,Latvia,-5628.83317333333
2012,Latvia,-5628.83317333333
2013,Latvia,-5628.83317333333
2014,Latvia,-5628.83317333333
2015,Latvia,-5628.83317333333
2016,Latvia,-5710.59148
2017,Latvia,-5710.59148
2018,Latvia,-5710.59148
2019,Latvia,-5710.59148
2020,Latvia,-5710.59148
1990,Lithuania,-4264.88333333333
1991,Lithuania,-4264.88333333333
1992,Lithuania,-4264.88333333333
1993,Lithuania,-4264.88333333333
1994,Lithuania,-4264.88333333333
1995,Lithuania,-4264.88333333333
1996,Lithuania,-4264.88333333333
1997,Lithuania,-4264.88333333333
1998,Lithuania,-4264.88333333333
1999,Lithuania,-4264.88333333333
2000,Lithuania,-4264.88333333333
2001,Lithuania,-4761.16666666667
2002,Lithuania,-4761.16666666667
2003,Lithuania,-4761.16666666667
2004,Lithuania,-4761.16666666667
2005,Lithuania,-4761.16666666667
2006,Lithuania,-4761.16666666667
2007,Lithuania,-4761.16666666667
2008,Lithuania,-4761.16666666667
2009,Lithuania,-4761.16666666667
2010,Lithuania,-4761.16666666667
2011,Lithuania,-12583.6883333333
2012,Lithuania,-12583.6883333333
2013,Lithuania,-12583.6883333333
2014,Lithuania,-12583.6883333333
2015,Lithuania,-12583.6883333333
2016,Lithuania,-6030.21026666666
2017,Lithuania,-6030.21026666666
2018,Lithuania,-6030.21026666666
2019,Lithuania,-6030.21026666666
2020,Lithuania,-6030.21026666666
1990,Malta,-0.0001228107649853
1991,Malta,-0.0001228107649853
1992,Malta,-0.0001228107649853
1993,Malta,-0.0001228107649853
1994,Malta,-0.0001228107649853
1995,Malta,-0.0001228107649853
1996,Malta,-0.0001228107649853
1997,Malta,-0.0001228107649853
1998,Malta,-0.0001228107649853
1999,Malta,-0.0001228107649853
2000,Malta,-0.0001228107649853
2001,Malta,-0.0004494624702047
2002,Malta,-0.0004494624702047
2003,Malta,-0.0004494624702047
2004,Malta,-0.0004494624702047
2005,Malta,-0.0004494624702047
2006,Malta,-0.0004494624702047
2007,Malta,-0.0004494624702047
2008,Malta,-0.0004494624702047
2009,Malta,-0.0004494624702047
2010,Malta,-0.0004494624702047
2011,Malta,-0.0003049122811882
2012,Malta,-0.0003049122811882
2013,Malta,-0.0003049122811882
2014,Malta,-0.0003049122811882
2015,Malta,-0.0003049122811882
2016,Malta,-0.0045348322608213
2017,Malta,-0.0045348322608213
2018,Malta,-0.0045348322608213
2019,Malta,-0.0045348322608213
2020,Malta,-0.0045348322608213
1990,Netherlands,-598.011333333333
1991,Netherlands,-598.011333333333
1992,Netherlands,-598.011333333333
1993,Netherlands,-598.011333333333
1994,Netherlands,-598.011333333333
1995,Netherlands,-598.011333333333
1996,Netherlands,-598.011333333333
1997,Netherlands,-598.011333333333
1998,Netherlands,-598.011333333333
1999,Netherlands,-598.011333333333
2000,Netherlands,-598.011333333333
2001,Netherlands,-838.659066666666
2002,Netherlands,-838.659066666666
2003,Netherlands,-838.659066666666
2004,Netherlands,-838.659066666666
2005,Netherlands,-838.659066666666
2006,Netherlands,-838.659066666666
2007,Netherlands,-838.659066666666
2008,Netherlands,-838.659066666666
2009,Netherlands,-838.659066666666
2010,Netherlands,-838.659066666666
2011,Netherlands,-725.038820000001
2012,Netherlands,-725.038820000001
2013,Netherlands,-725.038820000001
2014,Netherlands,-725.038820000001
2015,Netherlands,-725.038820000001
2016,Netherlands,-558.587186666666
2017,Netherlands,-558.587186666666
2018,Netherlands,-558.587186666666
2019,Netherlands,-558.587186666666
2020,Netherlands,-558.587186666666
1990,Czech Republic,-9798.65003333332
1991,Czech Republic,-9798.65003333332
1992,Czech Republic,-9798.65003333332
1993,Czech Republic,-9798.65003333332
1994,Czech Republic,-9798.65003333332
1995,Czech Republic,-9798.65003333332
1996,Czech Republic,-9798.65003333332
1997,Czech Republic,-9798.65003333332
1998,Czech Republic,-9798.65003333332
1999,Czech Republic,-9798.65003333332
2000,Czech Republic,-9798.65003333332
2001,Czech Republic,-7705.52632666668
2002,Czech Republic,-7705.52632666668
2003,Czech Republic,-7705.52632666668
2004,Czech Republic,-7705.52632666668
2005,Czech Republic,-7705.52632666668
2006,Czech Republic,-7705.52632666668
2007,Czech Republic,-7705.52632666668
2008,Czech Republic,-7705.52632666668
2009,Czech Republic,-7705.52632666668
2010,Czech Republic,-7705.52632666668
2011,Czech Republic,-4845.07943333331
2012,Czech Republic,-4845.07943333331
2013,Czech Republic,-4845.07943333331
2014,Czech Republic,-4845.07943333331
2015,Czech Republic,-4845.07943333331
2016,Czech Republic,-6894.2200066667
2017,Czech Republic,-6894.2200066667
2018,Czech Republic,-6894.2200066667
2019,Czech Republic,-6894.2200066667
2020,Czech Republic,-6894.2200066667
1990,Poland,-26691.1333333333
1991,Poland,-26691.1333333333
1992,Poland,-26691.1333333333
1993,Poland,-26691.1333333333
1994,Poland,-26691.1333333333
1995,Poland,-26691.1333333333
1996,Poland,-26691.1333333333
1997,Poland,-26691.1333333333
1998,Poland,-26691.1333333333
1999,Poland,-26691.1333333333
2000,Poland,-26691.1333333333
2001,Poland,-84614.5666666667
2002,Poland,-84614.5666666667
2003,Poland,-84614.5666666667
2004,Poland,-84614.5666666667
2005,Poland,-84614.5666666667
2006,Poland,-84614.5666666667
2007,Poland,-84614.5666666667
2008,Poland,-84614.5666666667
2009,Poland,-84614.5666666667
2010,Poland,-84614.5666666667
2011,Poland,-40078.8666666667
2012,Poland,-40078.8666666667
2013,Poland,-40078.8666666667
2014,Poland,-40078.8666666667
2015,Poland,-40078.8666666667
2016,Poland,-45790.8
2017,Poland,-45790.8
2018,Poland,-45790.8
2019,Poland,-45790.8
2020,Poland,-45790.8
1990,Portugal,-1886.885
1991,Portugal,-1886.885
1992,Portugal,-1886.885
1993,Portugal,-1886.885
1994,Portugal,-1886.885
1995,Portugal,-1886.885
1996,Portugal,-1886.885
1997,Portugal,-1886.885
1998,Portugal,-1886.885
1999,Portugal,-1886.885
2000,Portugal,-1886.885
2001,Portugal,-164.497666666667
2002,Portugal,-164.497666666667
2003,Portugal,-164.497666666667
2004,Portugal,-164.497666666667
2005,Portugal,-164.497666666667
2006,Portugal,-164.497666666667
2007,Portugal,-164.497666666667
2008,Portugal,-164.497666666667
2009,Portugal,-164.497666666667
2010,Portugal,-164.497666666667
2011,Portugal,-1112.584
2012,Portugal,-1112.584
2013,Portugal,-1112.584
2014,Portugal,-1112.584
2015,Portugal,-1112.584
2016,Portugal,0.0
2017,Portugal,0.0
2018,Portugal,0.0
2019,Portugal,0.0
2020,Portugal,0.0
1990,Romania,4.1725882008828795e-12
1991,Romania,4.1725882008828795e-12
1992,Romania,4.1725882008828795e-12
1993,Romania,4.1725882008828795e-12
1994,Romania,4.1725882008828795e-12
1995,Romania,4.1725882008828795e-12
1996,Romania,4.1725882008828795e-12
1997,Romania,4.1725882008828795e-12
1998,Romania,4.1725882008828795e-12
1999,Romania,4.1725882008828795e-12
2000,Romania,4.1725882008828795e-12
2001,Romania,-3278.0
2002,Romania,-3278.0
2003,Romania,-3278.0
2004,Romania,-3278.0
2005,Romania,-3278.0
2006,Romania,-3278.0
2007,Romania,-3278.0
2008,Romania,-3278.0
2009,Romania,-3278.0
2010,Romania,-3278.0
2011,Romania,-287048.9424
2012,Romania,-287048.9424
2013,Romania,-287048.9424
2014,Romania,-287048.9424
2015,Romania,-287048.9424
2016,Romania,-28562.1812666667
2017,Romania,-28562.1812666667
2018,Romania,-28562.1812666667
2019,Romania,-28562.1812666667
2020,Romania,-28562.1812666667
1990,Slovenia,-9507.003
1991,Slovenia,-9507.003
1992,Slovenia,-9507.003
1993,Slovenia,-9507.003
1994,Slovenia,-9507.003
1995,Slovenia,-9507.003
1996,Slovenia,-9507.003
1997,Slovenia,-9507.003
1998,Slovenia,-9507.003
1999,Slovenia,-9507.003
2000,Slovenia,-9507.003
2001,Slovenia,-11895.4935
2002,Slovenia,-11895.4935
2003,Slovenia,-11895.4935
2004,Slovenia,-11895.4935
2005,Slovenia,-11895.4935
2006,Slovenia,-11895.4935
2007,Slovenia,-11895.4935
2008,Slovenia,-11895.4935
2009,Slovenia,-11895.4935
2010,Slovenia,-11895.4935
2011,Slovenia,-5092.03970000002
2012,Slovenia,-5092.03970000002
2013,Slovenia,-5092.03970000002
2014,Slovenia,-5092.03970000002
2015,Slovenia,-5092.03970000002
2016,Slovenia,-965.265473333331
2017,Slovenia,-965.265473333331
2018,Slovenia,-965.265473333331
2019,Slovenia,-965.265473333331
2020,Slovenia,-965.265473333331
1990,Slovakia,-9917.09642000001
1991,Slovakia,-9917.09642000001
1992,Slovakia,-9917.09642000001
1993,Slovakia,-9917.09642000001
1994,Slovakia,-9917.09642000001
1995,Slovakia,-9917.09642000001
1996,Slovakia,-9917.09642000001
1997,Slovakia,-9917.09642000001
1998,Slovakia,-9917.09642000001
1999,Slovakia,-9917.09642000001
2000,Slovakia,-9917.09642000001
2001,Slovakia,-8863.15250333334
2002,Slovakia,-8863.15250333334
2003,Slovakia,-8863.15250333334
2004,Slovakia,-8863.15250333334
2005,Slovakia,-8863.15250333334
2006,Slovakia,-8863.15250333334
2007,Slovakia,-8863.15250333334
2008,Slovakia,-8863.15250333334
2009,Slovakia,-8863.15250333334
2010,Slovakia,-8863.15250333334
2011,Slovakia,-7765.33303333333
2012,Slovakia,-7765.33303333333
2013,Slovakia,-7765.33303333333
2014,Slovakia,-7765.33303333333
2015,Slovakia,-7765.33303333333
2016,Slovakia,-1097.30573333334
2017,Slovakia,-1097.30573333334
2018,Slovakia,-1097.30573333334
2019,Slovakia,-1097.30573333334
2020,Slovakia,-1097.30573333334
1990,Spain,-43068.96517
1991,Spain,-43068.96517
1992,Spain,-43068.96517
1993,Spain,-43068.96517
1994,Spain,-43068.96517
1995,Spain,-43068.96517
1996,Spain,-43068.96517
1997,Spain,-43068.96517
1998,Spain,-43068.96517
1999,Spain,-43068.96517
2000,Spain,-43068.96517
2001,Spain,-19600.3244433333
2002,Spain,-19600.3244433333
2003,Spain,-19600.3244433333
2004,Spain,-19600.3244433333
2005,Spain,-19600.3244433333
2006,Spain,-19600.3244433333
2007,Spain,-19600.3244433333
2008,Spain,-19600.3244433333
2009,Spain,-19600.3244433333
2010,Spain,-19600.3244433333
2011,Spain,-8784.79888000002
2012,Spain,-8784.79888000002
2013,Spain,-8784.79888000002
2014,Spain,-8784.79888000002
2015,Spain,-8784.79888000002
2016,Spain,-15139.74902
2017,Spain,-15139.74902
2018,Spain,-15139.74902
2019,Spain,-15139.74902
2020,Spain,-15139.74902
1990,Sweden,-36230.909
1991,Sweden,-36230.909
1992,Sweden,-36230.909
1993,Sweden,-36230.909
1994,Sweden,-36230.909
1995,Sweden,-36230.909
1996,Sweden,-36230.909
1997,Sweden,-36230.909
1998,Sweden,-36230.909
1999,Sweden,-36230.909
2000,Sweden,-36230.909
2001,Sweden,-51833.485
2002,Sweden,-51833.485
2003,Sweden,-51833.485
2004,Sweden,-51833.485
2005,Sweden,-51833.485
2006,Sweden,-51833.485
2007,Sweden,-51833.485
2008,Sweden,-51833.485
2009,Sweden,-51833.485
2010,Sweden,-51833.485
2011,Sweden,-54856.0833333333
2012,Sweden,-54856.0833333333
2013,Sweden,-54856.0833333333
2014,Sweden,-54856.0833333333
2015,Sweden,-54856.0833333333
2016,Sweden,-44979.5866666667
2017,Sweden,-44979.5866666667
2018,Sweden,-44979.5866666667
2019,Sweden,-44979.5866666667
2020,Sweden,-44979.5866666667
1990,United Kingdom,-15141.1333333333
1991,United Kingdom,-15141.1333333333
1992,United Kingdom,-15141.1333333333
1993,United Kingdom,-15141.1333333333
1994,United Kingdom,-15141.1333333333
1995,United Kingdom,-15141.1333333333
1996,United Kingdom,-15141.1333333333
1997,United Kingdom,-15141.1333333333
1998,United Kingdom,-15141.1333333333
1999,United Kingdom,-15141.1333333333
2000,United Kingdom,-15141.1333333333
2001,United Kingdom,-13564.8333333333
2002,United Kingdom,-13564.8333333333
2003,United Kingdom,-13564.8333333333
2004,United Kingdom,-13564.8333333333
2005,United Kingdom,-13564.8333333333
2006,United Kingdom,-13564.8333333333
2007,United Kingdom,-13564.8333333333
2008,United Kingdom,-13564.8333333333
2009,United Kingdom,-13564.8333333333
2010,United Kingdom,-13564.8333333333
2011,United Kingdom,-11939.4
2012,United Kingdom,-11939.4
2013,United Kingdom,-11939.4
2014,United Kingdom,-11939.4
2015,United Kingdom,-11939.4
2016,United Kingdom,-13596.0
2017,United Kingdom,-13596.0
2018,United Kingdom,-13596.0
2019,United Kingdom,-13596.0
2020,United Kingdom,-13596.0
1990,Belgium,-5183.70343333333
1991,Belgium,-5183.70343333333
1992,Belgium,-5183.70343333333
1993,Belgium,-5183.70343333333
1994,Belgium,-5183.70343333333
1995,Belgium,-5183.70343333333
1996,Belgium,-5183.70343333333
1997,Belgium,-5183.70343333333
1998,Belgium,-5183.70343333333
1999,Belgium,-5183.70343333333
2000,Belgium,-5183.70343333333
2001,Belgium,-3224.37148
2002,Belgium,-3224.37148
2003,Belgium,-3224.37148
2004,Belgium,-3224.37148
2005,Belgium,-3224.37148
2006,Belgium,-3224.37148
2007,Belgium,-3224.37148
2008,Belgium,-3224.37148
2009,Belgium,-3224.37148
2010,Belgium,-3224.37148
2011,Belgium,-4876.70986
2012,Belgium,-4876.70986
2013,Belgium,-4876.70986
2014,Belgium,-4876.70986
2015,Belgium,-4876.70986
2016,Belgium,0.0
2017,Belgium,0.0
2018,Belgium,0.0
2019,Belgium,0.0
2020,Belgium,0.0
1990,Luxembourg,-557.460566666667
1991,Luxembourg,-557.460566666667
1992,Luxembourg,-557.460566666667
1993,Luxembourg,-557.460566666667
1994,Luxembourg,-557.460566666667
1995,Luxembourg,-557.460566666667
1996,Luxembourg,-557.460566666667
1997,Luxembourg,-557.460566666667
1998,Luxembourg,-557.460566666667
1999,Luxembourg,-557.460566666667
2000,Luxembourg,-557.460566666667
2001,Luxembourg,-518.999066666666
2002,Luxembourg,-518.999066666666
2003,Luxembourg,-518.999066666666
2004,Luxembourg,-518.999066666666
2005,Luxembourg,-518.999066666666
2006,Luxembourg,-518.999066666666
2007,Luxembourg,-518.999066666666
2008,Luxembourg,-518.999066666666
2009,Luxembourg,-518.999066666666
2010,Luxembourg,-518.999066666666
2011,Luxembourg,-242.624066666667
2012,Luxembourg,-242.624066666667
2013,Luxembourg,-242.624066666667
2014,Luxembourg,-242.624066666667
2015,Luxembourg,-242.624066666667
2016,Luxembourg,-279.700666666667
2017,Luxembourg,-279.700666666667
2018,Luxembourg,-279.700666666667
2019,Luxembourg,-279.700666666667
2020,Luxembourg,-279.700666666667
